data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi
2/24/20,ITA,13,Abruzzo,42.35122,13.39844,0,0,0,0,0,0,0,0,0,0,5
2/24/20,ITA,17,Basilicata,40.63947,15.80515,0,0,0,0,0,0,0,0,0,0,0
2/24/20,ITA,18,Calabria,38.90598,16.59440,0,0,0,0,0,0,0,0,0,0,1
2/24/20,ITA,15,Campania,40.83957,14.25085,0,0,0,0,0,0,0,0,0,0,10
2/24/20,ITA,8,Emilia-Romagna,44.49437,11.34172,10,2,12,6,18,0,18,0,0,18,148
2/24/20,ITA,6,Friuli Venezia Giulia,45.64944,13.76814,0,0,0,0,0,0,0,0,0,0,58
2/24/20,ITA,12,Lazio,41.89277,12.48367,1,1,2,0,2,0,2,1,0,3,124
2/24/20,ITA,7,Liguria,44.41149,8.93270,0,0,0,0,0,0,0,0,0,0,1
2/24/20,ITA,3,Lombardia,45.46679,9.19035,76,19,95,71,166,0,166,0,6,172,1463
2/24/20,ITA,11,Marche,43.61676,13.51888,0,0,0,0,0,0,0,0,0,0,16
2/24/20,ITA,14,Molise,41.55775,14.65916,0,0,0,0,0,0,0,0,0,0,0
2/24/20,ITA,1,Piemonte,45.07327,7.68069,2,0,2,1,3,0,3,0,0,3,141
2/24/20,ITA,16,Puglia,41.12560,16.86737,0,0,0,0,0,0,0,0,0,0,0
2/24/20,ITA,20,Sardegna,39.21531,9.11062,0,0,0,0,0,0,0,0,0,0,1
2/24/20,ITA,19,Sicilia,38.11570,13.36236,0,0,0,0,0,0,0,0,0,0,5
2/24/20,ITA,9,Toscana,43.76923,11.25589,0,0,0,0,0,0,0,0,0,0,140
2/24/20,ITA,10,Umbria,43.10676,12.38825,0,0,0,0,0,0,0,0,0,0,0
2/24/20,ITA,2,Valle d'Aosta,45.73750,7.32015,0,0,0,0,0,0,0,0,0,0,7
2/24/20,ITA,5,Veneto,45.43490,12.33845,12,4,16,16,32,0,32,0,1,33,2200
2/24/20,ITA,4,Trentino Alto Adige,46.28413,11.23893,0,0,0,0,0,0,0,0,0,0,4
2/25/20,ITA,13,Abruzzo,42.35122,13.39844,0,0,0,0,0,0,0,0,0,0,5
2/25/20,ITA,17,Basilicata,40.63947,15.80515,0,0,0,0,0,0,0,0,0,0,0
2/25/20,ITA,18,Calabria,38.90598,16.59440,0,0,0,0,0,0,0,0,0,0,2
2/25/20,ITA,15,Campania,40.83957,14.25085,0,0,0,0,0,0,0,0,0,0,10
2/25/20,ITA,8,Emilia-Romagna,44.49437,11.34172,15,2,17,9,26,8,8,0,0,26,391
2/25/20,ITA,6,Friuli Venezia Giulia,45.64944,13.76814,0,0,0,0,0,0,0,0,0,0,89
2/25/20,ITA,12,Lazio,41.89277,12.48367,1,1,2,0,2,0,0,1,0,3,124
2/25/20,ITA,7,Liguria,44.41149,8.93270,1,0,1,0,1,1,1,0,0,1,39
2/25/20,ITA,3,Lombardia,45.46679,9.19035,79,25,104,127,231,65,68,0,9,240,3700
2/25/20,ITA,11,Marche,43.61676,13.51888,0,0,0,0,0,0,0,0,0,0,21
2/25/20,ITA,14,Molise,41.55775,14.65916,0,0,0,0,0,0,0,0,0,0,0
2/25/20,ITA,1,Piemonte,45.07327,7.68069,2,0,2,1,3,0,0,0,0,3,141
2/25/20,ITA,16,Puglia,41.12560,16.86737,0,0,0,0,0,0,0,0,0,0,0
2/25/20,ITA,20,Sardegna,39.21531,9.11062,0,0,0,0,0,0,0,0,0,0,1
2/25/20,ITA,19,Sicilia,38.11570,13.36236,1,0,1,2,3,3,3,0,0,3,5
2/25/20,ITA,9,Toscana,43.76923,11.25589,2,0,2,0,2,2,2,0,0,2,296
2/25/20,ITA,10,Umbria,43.10676,12.38825,0,0,0,0,0,0,0,0,0,0,8
2/25/20,ITA,2,Valle d'Aosta,45.73750,7.32015,0,0,0,0,0,0,0,0,0,0,7
2/25/20,ITA,5,Veneto,45.43490,12.33845,12,7,19,23,42,10,10,0,1,43,3780
2/25/20,ITA,4,Trentino Alto Adige,46.28413,11.23893,1,0,1,0,1,1,1,0,0,1,4
2/26/20,ITA,13,Abruzzo,42.35122,13.39844,0,0,0,0,0,0,0,0,0,0,13
2/26/20,ITA,17,Basilicata,40.63947,15.80515,0,0,0,0,0,0,0,0,0,0,0
2/26/20,ITA,18,Calabria,38.90598,16.59440,0,0,0,0,0,0,0,0,0,0,3
2/26/20,ITA,15,Campania,40.83957,14.25085,0,0,0,0,0,0,0,0,0,0,10
2/26/20,ITA,8,Emilia-Romagna,44.49437,11.34172,20,3,23,23,46,20,21,0,1,47,577
2/26/20,ITA,6,Friuli Venezia Giulia,45.64944,13.76814,0,0,0,0,0,0,0,0,0,0,114
2/26/20,ITA,12,Lazio,41.89277,12.48367,0,0,0,0,0,-2,0,3,0,3,124
2/26/20,ITA,7,Liguria,44.41149,8.93270,6,0,6,5,11,10,10,0,0,11,66
2/26/20,ITA,3,Lombardia,45.46679,9.19035,79,25,104,145,249,18,18,0,9,258,3208
2/26/20,ITA,11,Marche,43.61676,13.51888,1,0,1,0,1,1,1,0,0,1,28
2/26/20,ITA,14,Molise,41.55775,14.65916,0,0,0,0,0,0,0,0,0,0,0
2/26/20,ITA,1,Piemonte,45.07327,7.68069,2,0,2,1,3,0,0,0,0,3,156
2/26/20,ITA,16,Puglia,41.12560,16.86737,0,0,0,0,0,0,0,0,0,0,0
2/26/20,ITA,20,Sardegna,39.21531,9.11062,0,0,0,0,0,0,0,0,0,0,1
2/26/20,ITA,19,Sicilia,38.11570,13.36236,1,0,1,2,3,0,0,0,0,3,5
2/26/20,ITA,9,Toscana,43.76923,11.25589,2,0,2,0,2,0,0,0,0,2,363
2/26/20,ITA,10,Umbria,43.10676,12.38825,0,0,0,0,0,0,0,0,0,0,8
2/26/20,ITA,2,Valle d'Aosta,45.73750,7.32015,0,0,0,0,0,0,0,0,0,0,7
2/26/20,ITA,5,Veneto,45.43490,12.33845,16,8,24,45,69,27,28,0,2,71,4900
2/26/20,ITA,4,Trentino Alto Adige,46.28413,11.23893,1,0,1,0,1,0,0,0,0,1,4
2/27/20,ITA,13,Abruzzo,42.35122,13.39844,1,0,1,0,1,1,1,0,0,1,33
2/27/20,ITA,17,Basilicata,40.63947,15.80515,0,0,0,0,0,0,0,0,0,0,0
2/27/20,ITA,18,Calabria,38.90598,16.59440,0,0,0,0,0,0,0,0,0,0,14
2/27/20,ITA,15,Campania,40.83957,14.25085,2,0,2,1,3,3,3,0,0,3,10
2/27/20,ITA,8,Emilia-Romagna,44.49437,11.34172,36,6,42,54,96,50,50,0,1,97,1033
2/27/20,ITA,6,Friuli Venezia Giulia,45.64944,13.76814,0,0,0,0,0,0,0,0,0,0,141
2/27/20,ITA,12,Lazio,41.89277,12.48367,0,0,0,0,0,0,0,3,0,3,552
2/27/20,ITA,7,Liguria,44.41149,8.93270,9,0,9,10,19,8,8,0,0,19,78
2/27/20,ITA,3,Lombardia,45.46679,9.19035,172,41,213,136,349,100,145,40,14,403,3320
2/27/20,ITA,11,Marche,43.61676,13.51888,2,1,3,0,3,2,2,0,0,3,46
2/27/20,ITA,14,Molise,41.55775,14.65916,0,0,0,0,0,0,0,0,0,0,0
2/27/20,ITA,1,Piemonte,45.07327,7.68069,2,0,2,0,2,-1,-1,0,0,2,156
2/27/20,ITA,16,Puglia,41.12560,16.86737,1,0,1,0,1,1,1,0,0,1,0
2/27/20,ITA,20,Sardegna,39.21531,9.11062,0,0,0,0,0,0,0,0,0,0,1
2/27/20,ITA,19,Sicilia,38.11570,13.36236,1,0,1,1,2,-1,1,2,0,4,5
2/27/20,ITA,9,Toscana,43.76923,11.25589,2,0,2,0,2,0,0,0,0,2,410
2/27/20,ITA,10,Umbria,43.10676,12.38825,0,0,0,0,0,0,0,0,0,0,8
2/27/20,ITA,2,Valle d'Aosta,45.73750,7.32015,0,0,0,0,0,0,0,0,0,0,9
2/27/20,ITA,5,Veneto,45.43490,12.33845,19,8,27,82,109,40,40,0,2,111,6164
2/27/20,ITA,4,Trentino Alto Adige,46.28413,11.23893,1,0,1,0,1,0,0,0,0,1,34
2/28/20,ITA,13,Abruzzo,42.35122,13.39844,1,0,1,0,1,0,0,0,0,1,33
2/28/20,ITA,17,Basilicata,40.63947,15.80515,0,0,0,0,0,0,0,0,0,0,0
2/28/20,ITA,18,Calabria,38.90598,16.59440,0,0,0,1,1,1,1,0,0,1,21
2/28/20,ITA,15,Campania,40.83957,14.25085,2,0,2,2,4,1,1,0,0,4,213
2/28/20,ITA,8,Emilia-Romagna,44.49437,11.34172,56,6,62,81,143,47,48,0,2,145,1277
2/28/20,ITA,6,Friuli Venezia Giulia,45.64944,13.76814,0,0,0,0,0,0,0,0,0,0,169
2/28/20,ITA,12,Lazio,41.89277,12.48367,0,0,0,0,0,0,0,3,0,3,611
2/28/20,ITA,7,Liguria,44.41149,8.93270,9,0,9,10,19,0,0,0,0,19,112
2/28/20,ITA,3,Lombardia,45.46679,9.19035,235,47,282,192,474,125,128,40,17,531,4835
