,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Province/State,Country/Region,date,Deaths,Confirmed,Recovered
0,0,0,0,Anhui,Mainland China,1/22/20,0,1,0
1,1,1,1,Beijing,Mainland China,1/22/20,0,14,0
2,2,2,2,Chongqing,Mainland China,1/22/20,0,6,0
3,3,3,3,Fujian,Mainland China,1/22/20,0,1,0
4,4,4,4,Gansu,Mainland China,1/22/20,0,0,0
5,5,5,5,Guangdong,Mainland China,1/22/20,0,26,0
6,6,6,6,Guangxi,Mainland China,1/22/20,0,2,0
7,7,7,7,Guizhou,Mainland China,1/22/20,0,1,0
8,8,8,8,Hainan,Mainland China,1/22/20,0,4,0
9,9,9,9,Hebei,Mainland China,1/22/20,0,1,0
10,10,10,10,Heilongjiang,Mainland China,1/22/20,0,0,0
11,11,11,11,Henan,Mainland China,1/22/20,0,5,0
12,12,12,12,Hubei,Mainland China,1/22/20,17,444,28
13,13,13,13,Hunan,Mainland China,1/22/20,0,4,0
14,14,14,14,Inner Mongolia,Mainland China,1/22/20,0,0,0
15,15,15,15,Jiangsu,Mainland China,1/22/20,0,1,0
16,16,16,16,Jiangxi,Mainland China,1/22/20,0,2,0
17,17,17,17,Jilin,Mainland China,1/22/20,0,0,0
18,18,18,18,Liaoning,Mainland China,1/22/20,0,2,0
19,19,19,19,Ningxia,Mainland China,1/22/20,0,1,0
20,20,20,20,Qinghai,Mainland China,1/22/20,0,0,0
21,21,21,21,Shaanxi,Mainland China,1/22/20,0,0,0
22,22,22,22,Shandong,Mainland China,1/22/20,0,2,0
23,23,23,23,Shanghai,Mainland China,1/22/20,0,9,0
24,24,24,24,Shanxi,Mainland China,1/22/20,0,1,0
25,25,25,25,Sichuan,Mainland China,1/22/20,0,5,0
26,26,26,26,Tianjin,Mainland China,1/22/20,0,4,0
27,27,27,27,Tibet,Mainland China,1/22/20,0,0,0
28,28,28,28,Xinjiang,Mainland China,1/22/20,0,0,0
29,29,29,29,Yunnan,Mainland China,1/22/20,0,1,0
30,30,30,30,Zhejiang,Mainland China,1/22/20,0,10,0
31,31,31,31,,Thailand,1/22/20,0,2,0
32,32,32,32,,Japan,1/22/20,0,2,0
33,33,33,33,,South Korea,1/22/20,0,1,0
34,34,34,34,Taiwan,Taiwan,1/22/20,0,1,0
35,35,35,35,"King County, WA",US,1/22/20,0,1,0
36,36,36,36,"Cook County, IL",US,1/22/20,0,0,0
37,37,37,37,"Tempe, AZ",US,1/22/20,0,0,0
38,38,38,38,Macau,Macau,1/22/20,0,1,0
39,39,39,39,Hong Kong,Hong Kong,1/22/20,0,0,0
40,40,40,40,,Singapore,1/22/20,0,0,0
